0,14,-4.20404,0.95873,2.08097,0.55,1.04,-1.63424,19,160,133,166
0,3,-0.55515,1.69827,1.32,0.55,0.84,4.31491,651,112,232,367
0,9,-7.71759,1.95754,1.6146,0.5,0.79,0.21485,120,178,41,81
0,5,-1.27049,1.62607,1.37409,0.5,0.75,4.25935,444,120,176,341
0,35,3.10224,1.51589,1.98,0.55,0.98,0.21434,1490,82,158,276
0,23,-0.04197,-3.10506,2.01976,0.55,0.99,4.83554,2763,66,115,283
0,17,-7.33475,0.1201,1.58753,0.53,0.94,2.4846,3724,172,56,98
0,12,-6.36442,0.53456,1.67156,0.55,1.09,-1.54169,1,166,71,115
0,21,-1.99816,0.24102,1.90804,0.55,1.04,1.01281,5,12,198,436
0,25,-3.55056,-0.0764,1.91543,0.6,1.0,1.28187,3686,82,116,257
0,24,1.89424,1.84126,1.82014,0.5,0.88,3.3964,1372,63,102,340
0,10,-7.67967,3.39952,1.50989,0.5,0.73,0.17778,224,190,49,74
0,7,-1.50971,-0.69996,1.37976,0.48,0.75,3.72296,3359,106,236,366
0,20,-4.84303,-0.29198,2.11894,0.55,0.96,3.03163,3678,161,83,146
0,1,0.40473,2.85175,1.96997,0.52,0.95,3.98505,950,62,161,317
0,26,-1.47885,7.88073,1.5,0.5,0.73,3.07649,814,192,56,77
0,27,-3.1662,-1.14461,1.89702,0.55,1.0,1.60919,3478,77,89,253
0,6,-0.54982,-1.16021,1.32069,0.5,0.79,0.3529,2962,63,299,397
0,22,-0.43241,3.41633,1.8556,0.55,0.97,-0.96682,823,95,84,276
0,8,0.97985,-1.79701,1.88911,0.55,0.96,1.7902,2452,0,139,447
6,14,-4.18713,0.92313,2.08379,0.55,1.04,-1.65832,13,159,139,167
6,3,-0.55694,1.68631,1.32,0.55,0.84,4.31574,651,112,233,367
6,9,-7.74,1.95,1.6,0.5,0.79,0.21485,120,178,41,81
6,5,-1.27242,1.6164,1.38578,0.5,0.75,4.23223,444,120,176,341
6,35,3.10899,1.50357,1.98,0.55,0.98,0.21335,1589,86,75,304
6,23,-0.04765,-3.0907,2.01909,0.55,0.99,4.82148,2763,66,115,281
